slug,title,pdf_sha256,category,definition
asset-management-policy,Asset Management Policy,cd072fedc93c93cdcb3fcfdf90aa7c97217f476dfd03d3e675a0233e6a372112,AST-01,Maintain one centralized information system asset inventory tracking system to track each of the organization's logical computing information systems.
asset-management-policy,Asset Management Policy,cd072fedc93c93cdcb3fcfdf90aa7c97217f476dfd03d3e675a0233e6a372112,AST-02,"Ensure the organization's asset tracking system includes all endpoint computing devices, such as workstations or laptops, whether onsite or remote."
asset-management-policy,Asset Management Policy,cd072fedc93c93cdcb3fcfdf90aa7c97217f476dfd03d3e675a0233e6a372112,AST-03,"Ensure the organization's asset tracking system includes all server computing devices, such as physical or virtualized server instances, whether onsite or remote."
asset-management-policy,Asset Management Policy,cd072fedc93c93cdcb3fcfdf90aa7c97217f476dfd03d3e675a0233e6a372112,AST-04,"Ensure the organization's asset tracking system includes all mobile computing devices, such as phones and tablets, whether onsite or remote."
asset-management-policy,Asset Management Policy,cd072fedc93c93cdcb3fcfdf90aa7c97217f476dfd03d3e675a0233e6a372112,AST-05,"Ensure the organization's asset tracking system records essential technical information about each information asset, including name, hardware address, and network address."
asset-management-policy,Asset Management Policy,cd072fedc93c93cdcb3fcfdf90aa7c97217f476dfd03d3e675a0233e6a372112,AST-06,"Ensure the organization's asset tracking system records essential business information about each information asset, including business owner, criticality, business unit, and approvals."
asset-management-policy,Asset Management Policy,cd072fedc93c93cdcb3fcfdf90aa7c97217f476dfd03d3e675a0233e6a372112,AST-07,"Maintain an automated asset discovery platform to discover information assets, actively or passively, to ensure the organization's asset tracking system is accurate and automatically updated regularly."
asset-management-policy,Asset Management Policy,cd072fedc93c93cdcb3fcfdf90aa7c97217f476dfd03d3e675a0233e6a372112,AST-08,Define a process the organization will use to approve each information asset in the organization's asset tracking system.
asset-management-policy,Asset Management Policy,cd072fedc93c93cdcb3fcfdf90aa7c97217f476dfd03d3e675a0233e6a372112,AST-09,Define a process the organization will use to remove unauthorized information assets from the organization's network and decommission unauthorized assets.
