slug,title,pdf_sha256,category,definition
mobile-device-management-policy,Mobile Device Management Policy,b727028e9380c221737f5f10dd9c56778be343aec3799209fc274395ec4c8151,MDM-01,"Maintain a Mobile Device Management (MDM) system to enforce cybersecurity safeguards on each organizational mobile device, such as phones and tablets."
mobile-device-management-policy,Mobile Device Management Policy,b727028e9380c221737f5f10dd9c56778be343aec3799209fc274395ec4c8151,MDM-02,"Ensure the Mobile Device Management (MDM) system limits enterprise data on mobile devices to containerized, enterprise-managed applications."
mobile-device-management-policy,Mobile Device Management Policy,b727028e9380c221737f5f10dd9c56778be343aec3799209fc274395ec4c8151,MDM-03,Ensure the Mobile Device Management (MDM) system enforces approved configurations on each approved enterprise application.
mobile-device-management-policy,Mobile Device Management Policy,b727028e9380c221737f5f10dd9c56778be343aec3799209fc274395ec4c8151,MDM-04,"Ensure the Mobile Device Management (MDM) system enforces application control on managed mobile devices, allowing only authorized applications, including mobile application stores, to execute."
mobile-device-management-policy,Mobile Device Management Policy,b727028e9380c221737f5f10dd9c56778be343aec3799209fc274395ec4c8151,MDM-05,Ensure the Mobile Device Management (MDM) system enforces an unlock code of six characters or longer to access each mobile device.
mobile-device-management-policy,Mobile Device Management Policy,b727028e9380c221737f5f10dd9c56778be343aec3799209fc274395ec4c8151,MDM-06,Ensure the Mobile Device Management (MDM) system enforces mobile operating system updates on each mobile device.
mobile-device-management-policy,Mobile Device Management Policy,b727028e9380c221737f5f10dd9c56778be343aec3799209fc274395ec4c8151,MDM-07,Ensure the Mobile Device Management (MDM) system enforces application updates on each mobile device.
mobile-device-management-policy,Mobile Device Management Policy,b727028e9380c221737f5f10dd9c56778be343aec3799209fc274395ec4c8151,MDM-08,Ensure the Mobile Device Management (MDM) system detects and blocks attempts to jailbreak or root mobile devices.
mobile-device-management-policy,Mobile Device Management Policy,b727028e9380c221737f5f10dd9c56778be343aec3799209fc274395ec4c8151,MDM-09,Ensure the Mobile Device Management (MDM) system can remotely wipe data from mobile devices if they are lost or stolen.
